airline_id,name,alias,iata,icao,callsign,country,active
5188,TRIP Linhas A,,8R,TIB,TRIP,Brazil,Y
5209,United Airlines,,UA,UAL,UNITED,United States,Y
5234,Ural Airlines,,U6,SVR,SVERDLOVSK AIR,Russia,Y
5265,US Airways,,US,USA,U S AIR,United States,Y
5281,Uzbekistan Airways,,HY,UZB,UZBEK,Uzbekistan,Y
5282,Ukraine International Airlines,,PS,AUI,UKRAINE INTERNATIONAL,Ukraine,Y
5297,Valuair,,VF,VLU,VALUAIR,Singapore,Y
5309,Vietnam Airlines,,VN,HVN,VIET NAM AIRLINES,Vietnam,Y
5325,Volaris,,Y4,VOI,VOLARIS,Mexico,Y
5331,Virgin America,,VX,VRD,REDWOOD,United States,Y
5333,Virgin Express,,TV,VEX,VIRGIN EXPRESS,Belgium,Y
5347,Virgin Atlantic Airways,,VS,VIR,VIRGIN,United Kingdom,Y
5354,Varig Log,,LC,VLO,VELOG,Brazil,Y
5360,Virgin Australia,,VA,VOZ,VIRGIN,Australia,Y
5368,VRG Linhas Aereas,Varig,RG,VRN,VARIG,Brazil,Y
5399,WebJet Linhas A,,WJ,WEB,WEB-BRASIL,Brazil,Y
5416,WestJet,,WS,WJA,WESTJET,Canada,Y
5439,Widerøe,,WF,WIF,WIDEROE,Norway,Y
5461,Wizz Air,,W6,WZZ,WIZZ AIR,Hungary,Y
5479,XL Airways France,,SE,SEU,STARWAY,France,Y
5484,Xiamen Airlines,,MF,CXA,XIAMEN AIR,China,Y
5496,Yemenia,,IY,IYE,YEMENI,Yemen,Y
5521,Zip,,3J,WZP,ZIPPER,Canada,N
5523,Zoom Airlines,,Z4,OOM,ZOOM,Canada,Y
5651,Royal Air Cambodge,,VJ,RAC,,Cambodia,Y
5813,Air Mandalay,,6T,,Six Tango,Burma,Y
5982,Air Busan,,BX,ABL,Air Busan,Republic of Korea,Y
6557,Japan Air System,,JD,JAS,Air System,Japan,Y
8359,Star Peru (2I),,2I,,,Peru,Y
8463,United Airways,,4H,UBD,UNITED BANGLADESH,Bangladesh,Y
8576,Fly540,,5H,FFV,SWIFT TANGO,Kenya,Y
8745,Transavia France,,TO,TVF,FRENCH SUN,France,Y
8809,Island Air (WP),,WP,MKU,,United States,Y
9082,Uni Air,,B7,UIA,Glory,Taiwan,Y
9531,Tajik Air,,7J,,,Tajikistan,Y
9541,Air Mozambique,,TM,,,Mozambique,Y
9620,Gabon Airlines,,GY,GBK,GABON AIRLINES,Gabon,Y
9666,Virgin Pacific,,VH,VNP,,Fiji,Y
9764,Zest Air,,Z2,,,Philippines,Y
9784,Yangon Airways,,HK,,Hotel Kilo,Burma,Y
9809,Eastar Jet,,ZE,ESR,Eastar,South Korea,Y
9810,Jin Air,,LJ,JNA,Jin Air,South Korea,Y
9818,Air Arabia Maroc,,3O,,Air Arabia,Morocco,Y
9828,Ciel Canadien,,YC,YCC,Ciel,Canada,Y
9829,Canadian National Airways,,CN,YCP,CaNational,Canada,Y
10121,Illinois Airways,,IL,ILW,,United States,N
10122,Salzburg arrows,SZA,SZ,,SZA,Austria,Y
10128,Dennis Sky,Dennis Sky Holding,DH,DSY,DSY,Israel,Y
10646,Birmingham European,,VB,,,United Kingdom,N
10650,Pal airlines,,5P,,,Chile,Y
10675,Sharp Airlines,,SH,SHA,SHARP,Australia,Y
10737,ALAK,,J4,,,Russia,Y
10739,Air Choice One,,3E,,,United States,Y
10741,China United,,KN,,,China,Y
10758,Safi Airlines,,4Q,,,Afghanistan,Y
10765,SeaPort Airlines,,K5,SQH,SASQUATCH,United States,Y
10776,Salmon Air,,S6,,,United States,Y
10800,Star1 Airlines,,V9,HCW,,Lithuania,Y
10912,Alaska Seaplane Service,,J5,,,United States,Y
10955,MexicanaLink,,I6,MXI,LINK,Mexico,Y
11741,Air Antilles Express,,3S,,GREEN BIRD,Guadeloupe,Y
11763,Peruvian Airlines,,P9,,,Peru,Y
11794,Catovair,,OC,,CATOVAIR,Mauritius,Y
11806,Compagnie Africaine d\\'Aviation,,E9,,AFRICOMPANY,Congo (Kinshasa),Y
11808,Zambia Skyways,,K8,,ZAMBIA SKIES,Zambia,Y
11811,AlMasria Universal Airlines,,UJ,LMU,ALMASRIA,Egypt,Y
11814,SmartLynx Airlines,,6Y,,,Latvia,Y
11838,Arik Niger,,Q9,NAK,,Niger,Y
11857,Royal Falcon,,RL,RFJ,,Jordan,Y
11948,Viking Hellas,,VQ,VKH,DELPHI,Greece,Y
11963,Starline.kz,,DZ,,ALUNK,Kazakhstan,Y
12978,West Air China,,PN,CHB,WEST CHINA,China,Y
13088,NordStar Airlines,,Y7,,,Russia,Y
13108,Maldivian,,Q2,,ISLAND AVIATION,Maldives,Y
13200,Fuji Dream Airlines,,JH,,FUJI DREAM,Japan,Y
13335,Homer Air,Homer Sky,MR,OME,,Germany,Y
13704,KSY,Kreta Sky,KY,KSY,KSY,Greece,Y
13757,Wizz Air Ukraine,,WU,WAU,WIZZAIR UKRAINE,Ukraine,Y
13899,Cambodia Angkor Air (K6),,K6,,,Cambodia,Y
13983,Azul,Azul Linhas Aéreas Brasileiras,AD,AZU,,Brazil,Y
14061,LSM Airlines,slowbird,PQ,LOO,slowbird,Russia,Y
14118,Genesis,,GK,,,Pakistan,Y
14485,Fly Dubai,,FZ,FDB,,United Arab Emirates,Y
14849,Aereonautica militare,,JY,AXZ,,Italy,Y
15814,UTair-Express,,UR,,,Russia,Y
15837,Huaxia,HUAXIA,G5,,,China,Y
15893,Marysya Airlines,MARYSYA AIRLINES,M4,1QA,MARSHAK AIR,Russia,Y
15999,China SSS,Chunqiu Airlines,9C,,,China,Y
16120,ZABAIKAL AIRLINES,ZABAIKAL,Z6,ZTT,BAIKAL,Russia,Y
16133,Yeti Airways,,YT,,,Nepal,Y
16136,Caucasus Airlines,,NS,,,Georgia,Y
16149,Windward Islands Airways,,WM,,Winair,Netherlands Antilles,Y
16150,TransHolding System,,YO,TYS,,Brazil,Y
16262,Fly Colombia ( Interliging Flights ),,3F,3FF,,Colombia,Y
16415,Camair-co,,QC,,,Cameroon,Y
16475,TUR Avrupa Hava YollarÄ±,TUR European Airways,YI,,TurAvrupa,Turkey,N
16508,Baikotovitchestrian Airlines,,BU,BUU,,American Samoa,Y
16615,Mongolian International Air Lines,Mongol Air,7M,ZTF,Mongol_AIr,Mongolia,Y
16624,Tway Airlines,,TW,TWB,TWAY AIR,South Korea,Y
16660,AeroWorld,Sovet Air,W4,WER,sovet,Russia,Y
16707,Hankook Airline,,HN,HNX,HNX,South Korea,Y
16725,Marusya Airways,Marusya Air,Y8,MRS,snowball,Russia,Y
16726,Era Alaska,,7H,ERR,ERAH,United States,Y
16844,BVI Airways,,XV,,,British Virgin Islands,Y
16882,Polet Airlines (Priv),,YQ,,,Russia,Y
16942,Mauritania Airlines International,,L6,MAI,,Mauritania,Y
16960,Asian Wings Airways,,AW,AWM,Asian Star,Burma,Y
16963,Air Arabia Egypt,,E5,RBG,,Egypt,Y
17023,Asia Wings,,Y5,AWA,,Kazakhstan,Y
17083,Nile Air,,NP,NIA,NILEBIRD,Egypt,Y
17094,Senegal Airlines,,DN,SGG,,Senegal,Y
17095,Fly 6ix,,6I,,,Sierra Leone,Y
17099,Starbow Airlines,,S9,,,Ghana,Y
17408,BusinessAir,,8B,BCC,,Thailand,Y
17519,SENIC AIRLINES,,YR,,,United States,Y
17675,Peach Aviation,,MM,,Air Peach,Japan,Y
17885,Interjet (ABC Aerolineas),,4O,,INTERJET,Mexico,Y
17891,Scoot,,TZ,SCO,,Singapore,Y
18169,Patriot Airways,,P4,,,United States,Y
18232,BQB Lineas Aereas,Buquebus,5Q,,,Uruguay,Y
18529,T.J. Air,,TJ,TJA,T.J. Air,United States,Y
18543,SkyWork Airlines,,SX,,SKYFOX,Switzerland,Y
18553,Maastricht Airlines,,W2,,,Netherlands,Y
18700,SOCHI AIR CHATER,Sochi Air,Q3,QER,russian doll,Russia,Y
18732,Malindo Air,,OD,MXD,Malindo,Malaysia,Y
18825,Flightlink Tanzania,Flightlink,Z9,,,Tanzania,Y
18828,IzAvia,,I8,,,Russia,Y
18944,Insel Air (7I/INC) (Priv),,7I,,,Netherlands Antilles,Y
18946,VivaColombia,,5Z,VVC,,Colombia,Y
19016,Apache Air,Apache,ZM,IWA,APACHE,United States,Y
19305,Citilink Indonesia,,QG,,SUPERGREEN,Indonesia,Y
19582,Air Serbia,,JU,ASL,AIR SERBIA,Serbia,Y
19610,Air Lituanica,Air Lituanica,LT,LTU,LITUANICA,Lithuania,Y
19676,Rainbow Air Polynesia,Rainbow Air POL,RX,RPO,Rainbow Air,United States,Y
19804,All America,All America,A2,AL2,,United States,Y
19810,Regional Air Iceland,Regional Air Iceland,9N,N78,,Iceland,Y
19944,International AirLink,,I4,,,Jamaica,Y
20004,Volotea Costa Rica,Volotea Costa Rica,9V,VC9,,Costa Rica,Y
20047,Eagle Atlantic Airlines,,E2,,,Ghana,Y
20160,City Airways,,E8,GTA,CITY AIR,Thailand,Y
20270,Severstal Air Company,,D2,,,Russia,Y
20565,Boutique Air (Priv),,4B,BTQ,,United States,Y
20577,VOLOTEA Airways,,V7,VOE,,Spain,Y
20686,SkyBahamas Airlines,,Q7,,TROPICAL SKY,Bahamas,Y
20710,Silver Airways (3M),,3M,,Silver Wings,United States,Y
20963,Atlantic Air Cargo,,K3,,,United States,N
20976,World Scale Airlines,World Scale,W3,WSS,,United States,Y
21012,Fly One,Fly One,F5,FI5,,Moldova,Y
